iter	Passed	Remaining
238	2742	14470
239	2753	14454
240	2766	14453
241	2777	14438
242	2788	14424
243	2799	14408
244	2809	14392
245	2820	14378
246	2831	14361
247	2842	14348
248	2853	14334
249	2864	14320
250	2875	14306
251	2886	14293
252	2898	14286
253	2910	14278
254	2921	14264
255	2932	14250
256	2943	14237
257	2954	14223
258	2965	14210
259	2976	14195
260	2987	14182
261	2998	14170
262	3009	14156
263	3022	14151
264	3033	14135
265	3044	14123
266	3055	14109
267	3066	14094
268	3076	14080
269	3090	14078
270	3101	14065
271	3111	14047
272	3121	14029
273	3133	14020
274	3145	14012
275	3156	14000
276	3168	13987
277	3178	13973
278	3191	13968
279	3202	13954
280	3213	13941
281	3225	13929
282	3236	13919
283	3247	13904
284	3258	13890
285	3269	13878
286	3280	13865
287	3299	13885
288	3323	13924
289	3340	13939
290	3352	13926
291	3362	13912
292	3373	13895
293	3384	13881
294	3397	13877
295	3408	13862
296	3419	13850
297	3430	13838
298	3442	13826
299	3452	13811
300	3463	13797
301	3475	13785
302	3486	13773
303	3497	13760
304	3510	13754
305	3523	13748
306	3534	13734
307	3545	13720
308	3555	13705
309	3566	13692
310	3581	13690
311	3592	13679
312	3602	13663
313	3614	13650
314	3624	13636
315	3635	13621
316	3646	13608
317	3659	13603
318	3670	13589
319	3681	13576
320	3701	13595
321	3721	13615
322	3733	13604
323	3745	13594
324	3756	13580
325	3767	13566
326	3777	13550
327	3788	13538
328	3799	13525
329	3810	13511
330	3821	13497
331	3832	13483
332	3844	13472
333	3854	13457
334	3865	13443
335	3875	13427
336	3886	13414
337	3898	13401
338	3909	13388
339	3920	13374
340	3931	13360
341	3942	13347
342	3952	13333
343	3963	13319
344	3976	13311
345	3987	13298
346	3999	13290
347	4011	13278
348	4022	13265
349	4033	13252
350	4045	13243
351	4056	13230
352	4067	13217
353	4079	13205
354	4090	13193
355	4101	13180
356	4112	13166
357	4123	13153
358	4134	13139
359	4145	13126
360	4156	13115
361	4168	13103
362	4179	13091
363	4191	13080
364	4201	13066
365	4212	13051
366	4223	13039
367	4235	13027
368	4245	13013
369	4256	13000
370	4267	12985
371	4277	12971
372	4289	12959
373	4299	12944
374	4310	12932
375	4322	12920
376	4333	12907
377	4346	12900
378	4356	12885
379	4367	12871
380	4377	12858
381	4388	12844
382	4399	12831
383	4410	12817
384	4421	12806
385	4432	12792
386	4443	12779
387	4455	12770
388	4468	12761
389	4478	12747
390	4489	12733
391	4500	12720
392	4511	12706
393	4521	12692
394	4532	12679
395	4544	12668
396	4555	12655
397	4566	12642
398	4577	12631
399	4588	12617
400	4598	12603
401	4610	12591
402	4620	12577
403	4631	12565
404	4642	12552
405	4653	12539
406	4664	12525
407	4682	12532
408	4702	12543
